gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPS17,essential,no,yes,no,no,no,yes,no,no,no,,-8.53677351484261,,-0.882792220984741,,0.0035996400359964,,0.0167983201679832,,0,,,,,
RPS18,essential,no,yes,no,no,yes,yes,yes,no,no,-10.5177746583248,-9.31043682810136,-2.0819486538941,-1.02278241161043,9.99900009999e-05,0.0010998900109989,0.0047995200479952,0.0088991100889911,0,0,-11.392461441045,-11.1057058144143,-11.6579238528743,-12.0405563994319,-12.3818233943717
RPS19,essential,no,yes,no,no,yes,yes,yes,no,no,-11.9590981839142,-9.10546243216759,-2.39816365611294,-0.899216361954414,9.99900009999e-05,0.0013998600139986,0.0021997800219978,0.012998700129987,0,0,-12.5051813972238,-12.2537981603458,-12.1929404817964,-12.8207149569815,-12.9806598954604
RPS2,essential,no,yes,no,no,yes,no,yes,no,no,-12.4604450637257,-8.94166227251377,-2.21242539340059,-0.395338402272015,9.99900009999e-05,0.010998900109989,0.0030996900309969,0.0510948905109489,0,0,-12.6987130944914,-12.1113932109573,-12.6144210052265,-12.2051783791265,-11.9246072212111
RPS20,essential,no,yes,no,no,yes,yes,yes,no,no,-13.0703615901359,-9.33162713381598,-2.3814970774329,-0.45942664520006,9.99900009999e-05,0.0117988201179882,0.0007999200079992,0.0437956204379562,0,0.0198019801980198,-10.0811043082836,-9.97461520861074,-9.96584461639135,-10.2175443866998,-10.1509822062365
RPS21,essential,no,yes,no,no,yes,no,yes,no,no,-8.50554331241666,-9.34533641174101,-1.5170534521704,-1.04902871740262,0.0013998600139986,0.0004999500049995,0.0218978102189781,0.008999100089991,0.0198019801980198,0,-8.47638132643865,-8.4768481078067,-8.35572159300293,-8.80961085047639,-8.99417897911427
RPS23,essential,no,yes,no,no,yes,no,yes,no,no,-10.0383174775395,-8.20591746609358,-1.89264080420587,-0.475953102994107,9.99900009999e-05,0.0127987201279872,0.0081991800819918,0.0401959804019598,0,0.0396039603960396,-10.9096096693214,-10.4813544804171,-10.6360755804181,-10.9022656269456,-10.699298438918
RPS24,essential,no,yes,no,no,yes,yes,no,no,no,-9.5870936437629,-9.50607507913774,-1.8148620171676,-0.813275263442317,9.99900009999e-05,0.0023997600239976,0.0124987501249875,0.018998100189981,0,0.00990099009900991,-9.90139941238082,-9.66290075875791,-9.640287843476,-9.88768738919727,-9.94091073648966
RPS25,essential,no,yes,no,no,no,yes,no,no,no,-8.21329843954761,-8.42739826459474,-1.41353418103568,-0.744463320621384,0.0026997300269973,0.0057994200579942,0.0283971602839716,0.0221977802219778,0.0198019801980198,0.0396039603960396,-7.32727962684146,-7.29314504493392,-7.30834181691279,-7.75803773104773,-7.87787091319363
RPS26,essential,no,yes,no,no,no,yes,no,no,no,,-8.30284554319969,,-0.531477531042948,,0.0123987601239876,,0.0360963903609639,,0.0396039603960396,,,,,
RPS27,essential,no,yes,no,no,no,no,no,no,no,,-8.49986153099034,,-0.554653716167046,,0.0078992100789921,,0.0316968303169683,,0.0297029702970297,,,,,
RPS27A,essential,no,yes,no,no,yes,yes,no,no,no,-10.2010432414376,-11.0554911565031,-2.32944118038785,-1.4208274660448,9.99900009999e-05,9.99900009999e-05,0.0020997900209979,0.0005999400059994,0,0,-10.5738975999736,-10.9056120878746,-11.1500582707368,-10.7360920565597,-10.3302388071949
RPS28,essential,no,yes,no,no,yes,no,no,no,no,,-8.90736600574791,,-0.784109452214559,,0.0038996100389961,,0.0173982601739826,,0,,,,,
RPS29,essential,no,yes,no,no,no,no,no,no,no,-13.1129212045547,-8.96957710031763,-2.4845206562914,-0.862789199456566,9.99900009999e-05,0.0021997800219978,0.0001999800019998,0.017998200179982,0,0.00990099009900991,-11.2519501543111,-11.2014574709655,-11.3012489089356,-11.4062497188949,-11.0845404109081
RPS3,essential,no,yes,no,no,yes,yes,yes,no,no,-11.5082045647365,-10.4105313533649,-2.15593896256972,-1.03734847475711,9.99900009999e-05,0.0001999800019998,0.0048995100489951,0.0092990700929907,0,0,-9.55198022816003,-9.29848035566629,-10.2691694659136,-10.556249884424,-10.3669203738295
RPS3A,essential,no,yes,no,no,no,yes,no,no,no,,-10.637122643559,,-1.07932444453343,,9.99900009999e-05,,0.0074992500749925,,0,,,,,
RPS4X,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2861222506761,-10.2581105197741,-2.02346472697663,-1.05630133770272,9.99900009999e-05,9.99900009999e-05,0.0056994300569943,0.0076992300769923,0,0,-8.50911863882518,-8.49864256519577,-8.7556425143172,-9.41787390524039,-9.60375520636732
RPS5,essential,no,yes,no,no,yes,yes,yes,no,no,-11.0836294465603,-10.072808334842,-1.96147915484287,-0.989298532133179,9.99900009999e-05,0.0003999600039996,0.0056994300569943,0.0095990400959904,0,0,-10.9713153273747,-10.814993853954,-10.9978858309217,-11.8762533481406,-11.0755717409254
RPS6,essential,no,yes,no,no,yes,yes,yes,no,no,-12.675367781895,-9.3109460991603,-2.44760484243802,-0.961628001930222,9.99900009999e-05,0.0008999100089991,0.0016998300169983,0.0111988801119888,0,0.00990099009900991,-13.4269515948626,-12.8780684181696,-13.0327895181706,-14.7486066005341,-15.6399199323932
RPS7,essential,no,yes,no,no,yes,yes,yes,no,no,-10.7349866743189,-9.8185660980131,-2.05874643900192,-1.04301870906224,9.99900009999e-05,9.99900009999e-05,0.0056994300569943,0.007999200079992,0,0.0198019801980198,-10.479624944039,-10.3633088052319,-10.9976029854948,-11.8762533481406,-12.7182956309929
RPS8,essential,no,yes,no,no,yes,yes,yes,no,no,-12.4053852865426,-11.2127387728409,-2.31085904626682,-1.10239132528575,9.99900009999e-05,9.99900009999e-05,0.0014998500149985,0.0066993300669933,0,0,-15.1809707361078,-13.3123539648133,-13.4157817704267,-13.9864665484872,-13.4914855192264
RPS9,essential,no,yes,no,no,yes,yes,no,no,no,-12.5512371635552,-11.9699283197279,-2.23329908602073,-1.25159556712551,9.99900009999e-05,9.99900009999e-05,0.0045995400459954,0.0026997300269973,0,0,-11.7242035032908,-11.5511312194453,-12.2889986047919,-12.9509123957863,-12.6229854511886
