gene	Estimate	Std..Error	t.value	Pr...t..	ctrl_mean	case_mean	ctrl_sd	case_sd	ctrl_n	case_n	rra_score	rra_p	rra_fdr	u_gene	u_neig	NICE_score
WNT6	0.0235325828406556	0.0409999744280723	0.573965793123596	0.571331456791249	-0.0245133667707161	-0.00318858017813765	0.0879159061075255	0.0842378526155157	22	8	0.152669763385728	0.76113380823234	0.999054611914554	0.656556229584694	0.761455902939804	-0.693269954838065
WNT7A	-0.054837911361117	0.0379337983439958	-1.44562141823577	0.161216085892959	-0.05613765509196	-0.108451640191114	0.0762446198304281	0.105687721893457	22	8	0.078881149306548	0.585135273227752	0.928630492284025	0.118432104526365	0.630051329911339	-2.5953694270591
WNT9B	0.0244055192997747	0.0486698271601858	0.501450708247831	0.620622766840357	-0.0659813263721761	-0.0319359067280764	0.115540042349658	0.091617570194388	22	8	0.00302184338550129	0.0530826007218859	0.307791024684962	0.633877741483901	0.172375174988334	-2.21398110762493
WRAP53	0.0545695216018539	0.0451196166199206	1.20944116306523	0.238272872292191	-0.170946091461935	-0.133373863928377	0.0831677346053379	0.153603312324306	22	8	0.204581729973925	0.862958512411314	0.999711429236435	0.818292113859076	0.844517032197853	-0.369526273276425
WRAP73	0.00139810251253207	0.0410972983182668	0.0340193290007738	0.973143095251656	-0.0538098851063142	-0.0419958462897871	0.0953036401418057	0.0633170486005182	22	8	0.164302855131246	0.731419789264647	0.990291008588664	0.479328044797014	0.738590760615959	-1.03838134850019
WRN	-0.0247749877534123	0.0565414938189588	-0.438173562105376	0.665179116619863	-0.102844719568347	-0.092814598678379	0.156383939261038	0.0439414357249337	22	8	0.384945424668186	0.983337025025846	0.999711429236435	0.336164255716286	0.967148856742884	-1.12355824089524
WSB1	-0.057795196066644	0.0528319577479831	-1.09394386523279	0.284838017905936	-0.0843404095039554	-0.125854797922167	0.111833531641927	0.143538147557806	22	8	0.0119112778784211	0.206433650443947	0.612994774203699	0.178068128791414	0.336724218385441	-2.81408008262461
WSB2	0.00612815424806974	0.0949070473198509	0.0645700653547564	0.949051143344261	-0.207524568241904	-0.222756487781454	0.185248285523558	0.248614970889978	22	8	0.139498063777903	0.792738822499573	0.999711429236435	0.48987400839944	0.789734017732151	-0.949666123283042
WTAP	0.0129245326400514	0.117309074853206	0.110175045334084	0.913186675336846	-0.817406237675514	-0.704960017630515	0.298503975612649	0.308883457301247	22	8	0.0206920948188444	0.216366057023188	0.624727108866466	0.503779748016799	0.346336910872608	-1.74595936117681
WWP2	-3.60225804072488e-06	0.0348431449836411	-0.000103384985552141	0.999918365274359	-0.0426670364122328	-0.0654111324482678	0.0793680633328148	0.0974167378689071	22	8	0.0294974748748254	0.287617923639443	0.712178060548111	0.466915538964069	0.403826411572562	-1.66837706410226
WWTR1	0.0992094184172915	0.104882810425683	0.945907322798037	0.35362272702397	-0.434044662165205	-0.287239092056171	0.266282946692255	0.170088088244236	22	8	0.320460438857686	0.94041592006668	0.999711429236435	0.761735884274382	0.918338777414839	-0.357344309803305
XAB2	-0.249769800079033	0.0916979366115201	-2.72383228356803	0.011840611663025	-2.00495249653404	-2.21192737316504	0.222474484360045	0.236241159660348	22	8	4.59337055622827e-10	2.35923054793879e-07	4.59621005839348e-05	0.0199720018665422	0.00513299113392441	-9.18549061556103
XAF1	0.0774553280410641	0.0314757694191331	2.46079220525683	0.0214407332541365	-0.0575641187904343	0.025658273776963	0.0680989712469546	0.0747961869852842	22	8	0.0132874917866681	0.157030805867795	0.541607730591368	0.971441903873075	0.28987400839944	-1.26728271659125
XAGE3	-0.0870745929238688	0.043353922674328	-2.00845938620059	0.0559745949490435	-0.249186577076417	-0.307956895280601	0.102845305800479	0.104414805363549	22	8	0.185149992608816	0.601631569406418	0.93463488371193	0.0556229584694354	0.643397106859543	-3.33015240167319
XAGE5	-0.0679786731294522	0.0392048679588933	-1.73393450019341	0.0957592127570476	-0.0835612407349574	-0.154780906617417	0.0817920611119955	0.109678019919192	22	8	0.281724744845195	0.795120672640627	0.999711429236435	0.0823145123658423	0.791413905739617	-2.73114203102261
XCR1	0.00445586380949747	0.0356371072232536	0.125034385691944	0.901537764272781	-0.0212905626378825	-0.0227788662889174	0.0693794859810907	0.0952293446187025	22	8	0.00428451034273631	0.0833524515155796	0.396813017864127	0.507979468035464	0.209892673821745	-2.23847320542184
XDH	-0.0250707392468589	0.0220867335914363	-1.13510398190249	0.267541353759617	-0.001736037043397	-0.0280582673811754	0.0443627079685756	0.0670970283017588	22	8	0.698793749259487	0.992791925902487	0.999711429236435	0.170228651423238	0.982267848810079	-1.7885039866305
XIRP2	-0.0204787268639172	0.02877355686721	-0.711720381266263	0.483499258497069	-0.0178825771029916	-0.0156581522882531	0.0747187535081632	0.0597727709229607	22	8	0.218743075314616	0.72858093649326	0.989477279531786	0.263182454503033	0.736164255716286	-1.64120975560072
