GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
CENPM	MRPL19	SL	-0.283677559229723	0.738087948220815	Double KO screens	LOF
CENPM	PMF1	SL	-0.846881857701292	-0.358171947648584	Double KO screens	LOF
CENPM	PPP2R1A	SL	-1.88889358434322	-0.714564898359083	Double KO screens	LOF
CENPM	SKA3	SL	-1.88134512123852	-0.642976246236484	Double KO screens	LOF
CENPM	WDR61	SL	-1.78503571632419	-0.306739453074758	Double KO screens	LOF
CENPM	ZWINT	SL	-2.14981825552112	-0.503987689895036	Double KO screens	LOF
CEP152	PAFAH1B1	SL	-1.05447662638805	-0.367580792583817	Double KO screens	LOF
CEP63	PPP2R1A	SL	-0.263765392734469	1.59928516534586	Double KO screens	LOF
CHD1	CKM	SL	-0.186581914379499	1.77838967934451	Double KO screens	LOF
CHD1	PIK3CG	SL	-1.93488561408652	-2.09611402827326	Double KO screens	LOF
CHD1	TK1	SL	-1.87019023234365	-1.16664752679569	Double KO screens	LOF
CHEK1	HSP90AA1	SL	-1.05698275584922	0.438354419990285	Double KO screens	LOF
CHEK1	IGF1R	SL	-1.09573363430231	-0.394640932155063	Double KO screens	LOF
CHEK1	MAP2K1	SL	-0.9655850410592	0.971543494790067	Double KO screens	LOF
CHEK1	MET	SL	-0.961542491351781	0.486719473571689	Double KO screens	LOF
CHEK1	MTOR	SL	-0.655300898340726	0.443234349798887	Double KO screens	LOF
CHEK1	PARP1	SL	-1.75029921454147	-1.01185562232219	Double KO screens	LOF
CHEK1	PIK3CA	SL	-0.960117602739325	0.0358330394037927	Double KO screens	LOF
CHEK1	SMARCA4	SL	-1.8803620801683	-0.310774067483274	Double KO screens	LOF
CHEK1	SMO	SL	-0.785896655962532	-0.062234114771525	Double KO screens	LOF
CHEK1	SRC	SL	-2.26722976573806	-1.86417158163306	Double KO screens	LOF
CHEK1	TYMS	SL	-1.47397147654757	-0.77678770203883	Double KO screens	LOF
CHEK1	VHL	SL	-0.536385693430589	0.475753981933999	Double KO screens	LOF
CHEK1	WEE1	SL	-1.20463905301978	-0.236464367655689	Double KO screens	LOF
CIT	CYP4F12	SL	-0.865623357231514	0.186622646822236	Double KO screens	LOF
CIT	GPI	SL	-0.719790670422568	-0.134437286229413	Double KO screens	LOF
CIT	GRB2	SL	-0.584827609344538	0.361928676463431	Double KO screens	LOF
CIT	PIK3CG	SL	-0.496561974011202	0.374292182982109	Double KO screens	LOF
CIT	STMN1	SL	-1.04446728231273	-0.485709753196805	Double KO screens	LOF
CKAP5	MFAP1	SL	-1.02408164568872	1.15512080102951	Double KO screens	LOF
CKAP5	UBA2	SL	-1.24457098412596	-0.0415664761717933	Double KO screens	LOF
COG3	LEO1	SL	-0.739075340861181	-0.253548354354434	Double KO screens	LOF
COG3	NUDC	SL	-2.40509406844786	1.25332112564258	Double KO screens	LOF
COPS2	SKA3	SL	-1.48265980468918	-0.758476236554351	Double KO screens	LOF
COPS5	SKA3	SL	-1.43375473188442	0.404662332072674	Double KO screens	LOF
CSK	TK1	SL	-0.62489566401568	0.539189937399967	Double KO screens	LOF
CSNK1G2	MAP3K10	SL	-0.720058320159418	0.378473563200533	Double KO screens	LOF
CSNK1G2	PIK3CD	SL	-0.595494343627849	0.299501950588064	Double KO screens	LOF
CSNK1G2	TK1	SL	-0.375025314722533	0.916275680686207	Double KO screens	LOF
CTNNBL1	PPP2R1A	SL	-0.453572402601958	0.428884843458461	Double KO screens	LOF
DAGLA	DAGLB	SL	-0.914778441227164	-0.714260546067688	Double KO screens	LOF
DCTN2	GFI1B	SL	-0.646757557517247	0.0925117191872621	Double KO screens	LOF
DCXR	TK1	SL	-0.470796140153758	0.739129360981196	Double KO screens	LOF
DDR1	TK1	SL	-1.53498028286083	-0.771523476897892	Double KO screens	LOF
DDR2	TK1	SL	-2.20391509642257	-1.67668217259535	Double KO screens	LOF
DHODH	HUS1	SL	-0.60306114114232	0.202829098187309	Double KO screens	LOF
DHX37	XRN2	SL	-1.63805992174379	0.223686660471602	Double KO screens	LOF
DMPK	GRB2	SL	-1.0431552683797	0.500997201276216	Double KO screens	LOF
DMPK	MAP2K7	SL	-0.699727324072686	0.58956945556273	Double KO screens	LOF
DMPK	PIK3CD	SL	-0.768438508816925	-1.0509160137806	Double KO screens	LOF
DNAJC6	GAK	SL	-1.45674391005366	-0.189776839896302	Double KO screens	LOF
DNMT1	MAPK3	SL	-1.82297210806684	0.043314434770575	Double KO screens	LOF
DNMT1	NDUFA4L2	SL	-1.28522864142944	-0.829051574200697	Double KO screens	LOF
DNMT1	PLA2G2E	SL	-0.929752527979416	-0.142766236317503	Double KO screens	LOF
DNMT1	PRKCZ	SL	-0.754839854366014	0.618125533452261	Double KO screens	LOF
DOT1L	GRB2	SL	-0.772140026364394	0.19664893451391	Double KO screens	LOF
DOT1L	MCL1	SL	-1.322330936348	-0.245254178653968	Double KO screens	LOF
DOT1L	MST1R	SL	-1.09341311452336	-0.362074378378935	Double KO screens	LOF
DOT1L	NR5A1	SL	-1.0072158454348	-0.496342774224685	Double KO screens	LOF
DSN1	HTT	SL	-0.483105092812677	1.02754251084868	Double KO screens	LOF
DSN1	SRRM2	SL	-0.367585804534508	0.760648181713985	Double KO screens	LOF
DYNC1LI1	DYNC1LI2	SL	-1.38274366199257	-0.61709727171552	Double KO screens	LOF
DYNLT1	DYNLT3	SL	-0.74785021516377	-0.114651021221397	Double KO screens	LOF
EGFR	PRKCE	SL	-0.388595130531384	0.518270967479219	Double KO screens	LOF
EHMT2	GPX1	SL	-0.591276502149935	0.390812299833552	Double KO screens	LOF
EHMT2	NOS2	SL	-0.831458627665423	0.0161221771359955	Double KO screens	LOF
EIF3H	EIF4G2	SL	-0.694273582259559	-0.490598126217748	Double KO screens	LOF
ELP4	FAM98B	SL	-0.146020081158255	0.817601120934996	Double KO screens	LOF
EMC2	FDPS	SL	-1.2710781972444	0.242644684173305	Double KO screens	LOF
EMC4	FDPS	SL	-0.960067076124972	0.428449474306346	Double KO screens	LOF
ENO3	GAPDH	SL	-0.00990593684936588	1.78955826055036	Double KO screens	LOF
ENO3	RPE	SL	-0.057457453368014	1.07399631819213	Double KO screens	LOF
EPHA2	PKLR	SL	-1.09592190658757	0.0884741277252251	Double KO screens	LOF
EPHB2	GRB2	SL	-0.714235839984845	0.874410913683221	Double KO screens	LOF
EPHB2	PLA2G2E	SL	-0.726035083787445	0.00225353467795793	Double KO screens	LOF
EPHB4	PTPRJ	SL	-0.438396752177271	3.0152664702995	Double KO screens	LOF
ERBB2	RRM2	SL	-1.56632309850158	-1.47994710347236	Double KO screens	LOF
ERBB2	SRC	SL	-0.531311333418239	0.24614830626731	Double KO screens	LOF
ERBB2	TOP1	SL	-1.24983430901944	-0.75893796909113	Double KO screens	LOF
ERBB3	NDUFA4L2	SL	-1.17357536228168	-0.11415793376223	Double KO screens	LOF
EXOSC2	SNAPC1	SL	-1.10535246133791	0.077175258403211	Double KO screens	LOF
FBXW7	FEN1	SL	-1.86032614591535	-0.558830751007151	Double KO screens	LOF
FDPS	HUS1	SL	-1.54717197583701	-0.820319516381461	Double KO screens	LOF
FDPS	UBA2	SL	-1.80704628263943	-0.790192408793465	Double KO screens	LOF
FGFR2	GRB2	SL	-0.139793918013775	1.87209570940499	Double KO screens	LOF
FGFR3	FNTA	SL	-0.39924209874264	0.0489555691616607	Double KO screens	LOF
FGFR3	MAP3K4	SL	-0.61073162725722	0.227419849946868	Double KO screens	LOF
FGFR3	POMC	SL	-0.235646590326238	1.1956459885036	Double KO screens	LOF
FGFR3	VHL	SL	-0.757246338346748	-0.501573187441118	Double KO screens	LOF
FH	HUS1	SL	-0.852762961355218	0.318114500688813	Double KO screens	LOF
FIP1L1	TIPIN	SL	-1.37487740582758	-0.04048493105898	Double KO screens	LOF
FNTA	TOP1	SL	-0.671157386048741	0.273566372526242	Double KO screens	LOF
GALK1	ILK	SL	-1.49900713562898	-0.937669766133569	Double KO screens	LOF
GALK1	LTC4S	SL	-0.46219171323214	0.215026764982845	Double KO screens	LOF
GAPDH	MDH2	SL	-2.38044407837848	-0.65087898533165	Double KO screens	LOF
GAPDH	PDHX	SL	-0.330332540078163	1.09881986838793	Double KO screens	LOF
GATA3	WEE1	SL	-0.849596378729374	-0.120977836381175	Double KO screens	LOF
GCFC2	PAXBP1	SL	-1.17465271615554	-0.802975464581961	Double KO screens	LOF
